MYSORE REPUBLIC,"next to the mysore railway station, a2b first floor, jhansi rani lakshmi bai road, jjr rircle, mysuru, karnataka 570001, india",Hotel,12.3021536,76.6431974,570001,214,3.8
HOTEL IMPERIAL DELUXE,"# 1471, opp. govt medical college, m-103, sayyaji rao road, mysuru, karnataka 570001, india",Hotel,12.3103299,76.652538,570001,235,3.9
HOTEL AYODHYA - LODGE,"2927, bangalore - ooty road, beside ksrtc bus stand, mysuru, karnataka 570001, india",Lodge,12.3141444,76.6588354,570001,198,3.4
INDUS VALLEY AYURVEDIC CENTRE,"talavane farm, lalitadripura road, chamundi hill, mysuru, karnataka 570028, india",Wellness center,12.2890385,76.6923932,570028,213,4.4
ADDHURI COMFORTS HOTEL ( BEST HOTEL STAY AT MYSORE ),"k-30 behind mysore palce and, behind city corporation, kr mohalla, mysuru, karnataka 570004, india",Hotel,12.3027749,76.6518813,570004,234,3.6
HOTEL CHANDRA PALACE,"150, kali temple st, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3129295,76.6538653,570001,241,3.8
TREEBO TREND SPEKTRUM SUITES - HOTEL IN MYSORE,"#116,117,118 6th main, 3road cross, jayalakshmipuram, hunsur road behind b.m.hospital and, next to easy day shopping mall, karnataka 570012, india",Hotel,12.3220146,76.6208693,570012,212,3.7
FABEXPRESS MYSORE INTERNATIONAL,"# 2225, near, mission hospital road, menna bazzar, mandi mohalla, mysuru, karnataka 570021, india",Hotel,12.3196724,76.6559021,570021,233,2
HOTEL KOMFORT SUITES MYSORE,"66/66 a, vivakananda road, near akashwani circle, yadavagiri, mysuru, karnataka 570020, india",Hotel,12.324147,76.6383125,570020,197,3.8
SAN EN SUITES,"#430, n25, shalivahana road, nazarbad, mysuru, karnataka 570010, india",Hotel,12.3112584,76.6644294,570010,211,4.7
KSR GALAXY,"no 2042, d 18, rajkamal talkies road, devaraja mohalla, shivarampet, mysuru, karnataka 570001, india",Hotel,12.3116204,76.6497701,570001,232,4.2
M.B INTERNATIONAL PALACE SIDE,"haroadinge cir, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3078319,76.6598425,570001,196,3.1
"JADE GAroadEN HOTEL, MYSORE","1064, 1, jayalakshmi villas road, near law court, chamarajapura, chamarajapuram mohalla, lakshmipuram, mysuru, karnataka 570005, india",Hotel,12.300776,76.6403671,570005,209,4.1
OYO 23052 VARADASHREE COMFORTS,"609/a, industrial suburb, siddalingeshwara layout 1st stage, vishweshwaranagara, mysuru, karnataka 570008, india",Hotel,12.2814744,76.6445652,570008,231,3.7
MK GREENS GAroadENIA,"378/379, opposite to nehru park, udayagiri, mysuru, karnataka 570019, india",Extended stay hotel,12.3255436,76.6734415,570019,230,4
MANASVINI HOME STAY,"905 , 28 cross, 4 main, vidyaranyapuram, mysuru, karnataka 570008, india",Homestay,12.2774509,76.6483203,570008,229,4.1
PARKLANE HOTEL,"sri harsha road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Indoor lodging,12.3086907,76.658352,570001,208,4
OYO 7875 PRAKAASH COMFORTS,"plot no. 3615, 1, sayyaji rao road, devaraja mohalla, mandi mohalla, mysuru, karnataka 570021, india",Hotel,12.321554,76.646843,570021,228,4.2
OYO 1998 HOTEL NITYOTSAVA RESIDENCY,"prerana hospital, no199, g & h, udayaravi road, kuvempu nagara, mysuru, karnataka 570023, india",Hotel,12.2866225,76.6276095,570023,226,4
MYSORE BED AND BREAKFAST,"163, moksha marga, siddhartha layout, mysuru, karnataka 570011, india",Bed & breakfast,12.3057867,76.6825849,570011,225,4.4
OM SAI GRAND,"2931/b,l beside kalyan jewellers, 20/b, bangalore nilgiri road, lashkar mohalla, mysuru, karnataka 570001, india",Hotel,12.3160112,76.6592756,570001,224,3.9
OYO 1761 HOTEL AAVASS INN PARADISE,"70, ashoka road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3152984,76.6565878,570001,223,4
HOTEL ABHISHEK,"2930/a, bangalore -ooty road, lashkar mohalla, near kalyan jewellers, mysuru, karnataka 570001, india",Hotel,12.3161278,76.6587514,570001,207,2.9
SPOT ON 74311 VISHU MONI RESIDENCY,"# 2201, sham rao building road, opp to axis bank,, 4th main road, vontikoppal, mysuru, karnataka 570002, india",Hotel,12.3234578,76.6322123,570002,206,3
OYO 9137 JASMINE SUITES,"plot no. 83, 2nd b cross, 2nd main, vijayanagar 1st stage, mysuru, karnataka 570017, india",Hotel,12.3271353,76.6185007,570017,195,3.9
HOTEL S.C.V.D.S,"2716, sri harsha road, lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3085689,76.6588851,570001,205,3.5
OYO 11694 ABS COMFORTS,"abs comforts, earangere, louroadu nagar, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3209153,76.6577375,570001,194,3.5
IN ROYAL ORCHID NEW HOTEL,"172, nelson mandela road, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3319301,76.6484656,570015,222,4.3
SRI NANDINI LODGE,"irwin road, lashkar mohalla, doora, mysuru, karnataka 570001, india",Lodge,12.3139795,76.6586132,570001,202,3.3
BHAGYALALSHMI DELUXE LODGE,"1743, sayyaji rao road, devaraja mohalla, yadavagiri, mysuru, karnataka 570001, india",Hotel,12.3119444,76.6526295,570001,201,2.9
OYO 24210 YASHAS RESIDENCY,"17&18, 5th block, 9th main, vinayakanagar, jayalakshmipuram, mysuru, karnataka 570006, india",Hotel,12.3201009,76.627805,570006,193,3.2
MYHOME HOMESTAY,"1011, 1, 4th main 6th cross road, vijayanagar 2nd stage, vidyaranyapura, mysuru, karnataka 570008, india",Homestay,12.2860442,76.6495406,570008,191,4.3
HOTEL ASHWINI LODGE,"near lashkar police station opposite to geethamandir, lashkar mohalla, mysuru, karnataka 570001, india",Indoor lodging,12.3156487,76.6572535,570001,189,3.1
