Name,Adress,Type,latitude,longitude,pin code,rating
 BASAVANA KA??E KERE KALY??I ,"mysuru - Nanjangud Rd, opp. to APMC tardy, JP Nagar, Mysuru, Karnataka 570008, India",HISTORICAL LANDMARK,12.2626055,76.6572802,570008,4
MANASA GANGOTRI CLOCK TOWER,"8J6F+XMH, Manasa Gangothiri, Mysuru, Karnataka 570006, India",SCHOOL,12.3124459,76.624226,570006,5
CHAMUNDI HILL VIEW POINT.,"Chamundi Hill Rd, Chamundi Hill, Mysuru, Karnataka 570010, India",SCENIC location,12.2800897,76.6731515,570010,5
SHIVA TEMPLE,"Ooty Rd from Chamundi Hill, Chamundi Hill, Mysuru, Karnataka 570010, India",HINDU TEMPLE,12.276552,76.6787425,570010,5
BUDDHA STATUE," University Of mysuru Campus, Mysuru, Mysuru, Mysuru, Karnataka 570006, India",HISTORICAL LANDMARK,12.3169535,76.6201363,570006,5
mysuru CITY SIGHTSEEING,"#1103/2, Vani Vilasa Double Road, Chamaraja Mohalla, Mysuru, Karnataka 570004, India",SIGHTSEEING TOUR AGENCY,12.2990017,76.6410941,570004,4
SRI GAYATHRI DEVI TEMPLE,"Jaya Maarthanda Gate, Near Exhibition Grounds, mysuru Palace premises, Mysuru, Karnataka 570004, India",HINDU TEMPLE,12.3043896,76.657318,570004,5
MALL OF mysuru,"No.C-1, M.G Road Indira Nagar, Nazarbad Mohalla, Extension, Mysuru, Karnataka 570010, India",SHOPPING MALL,12.2975437,76.6643888,570010,4
IVAANA RESORTS - NATURE RESORT IN mysuru,"Lalitadripura Rd, Chamundi Hill, Mysuru, Karnataka 570028, India",RESORT HOTEL,12.2885043,76.694365,570028,5
SHREE SHVETHA VARAHA SWAMY TEMPLE,"8M34+G87, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",HINDU TEMPLE,12.3037775,76.6557827,570004,5
MYSURU CHAMUNDESHWARI HILL,"7MGC+432, Chamundi Hill, Mysuru, Karnataka 570010, India",HINDU TEMPLE,12.2752546,76.6701475,570010,5
Kuvempu,"8J5F+6FM, Manasa Gangothiri, Mysuru, Karnataka 570006, India",HISTORICAL LANDMARK,12.308086,76.6236835,570006,5
SILVER JUBILEE CLOCKTOWER,"Clock Tower Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",HISTORICAL LANDMARK,12.309753,76.6559244,570001,5
THE ROYAL HOUSE OF mysuru,"mysuru Palace, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",,12.3048686,76.6538081,570004,5
D BANUMAIAHS EDUCATIONAL INSTITUTES,"814, Santhepete Rd, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",ASSOCIATION OR ORGANIZATION,12.3049042,76.6513606,570004,4
ARADHYA MAHASABHA," Chamundipuram, Bettadpura, Mysuru, Karnataka 570008, India",HISTORICAL SOCIETY,12.290392,76.647226,570008,4
MYSURU DASARA EXHIBITION GROUND,"1117, Tank Bund Rd, Indira Nagar, Ittige Gudu, Mysuru, Karnataka 570010, India",EXHIBIT,12.3015178,76.6592375,570010,4
"CHAMUNDESHWARI TEMPLE , BAMBOO BAZAAR mysuru"," Bamboo Bazar, Mysuru, Karnataka 570015, India",HINDU TEMPLE,12.3307106,76.6435809,570015,5
KUKKARAHALLI LAKE,"Kukkarahalli, Saraswathipuram, Mysuru, Karnataka",LAKE,12.3103953,76.6304409,NA,5
PLACES TO VISIT IN mysuru IN ONE DAY,"#592/1, 1st Floor, Oil Mill Rd, Behind Chamundeshwari Nursing Home, Subbarayanakere, KR Mohalla, Chamrajpura, Mysuru, Karnataka 570024, India",TOUR OPERATOR,12.3052125,76.648483,570024,4
ST. THERESA'S CHURCH,"Silk Factory circle, Mananthavadi Rd, Ashokapuram, Mysuru, Karnataka 570008, India",CATHOLIC CHURCH,12.2854547,76.6422113,570008,5
DEVARAJA MARKET,"Devaraja Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",MARKET,12.3114102,76.6517974,570001,4
ST. PHILOMENA'S CATHEDRAL,"Lourdes Nagar, Ashoka Rd, Lashkar Mohalla, Mysuru, Karnataka 570001, India",CATHOLIC CATHEDRAL,12.3208715,76.6582409,570001,5
RAMASWAMY CIRCLE,"Ramaswamy Circle, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570005, India",HISTORICAL LANDMARK,12.3026,76.6433588,570005,4
CHAMUNDI HILL,Chamundi hill,,12.2731672,76.6707435,NA,5
TIPU SULTAN PARK RAJEEV NAGAR MYSURU,"2nd Stage, Rajiv Nagar, Mysuru, Karnataka 570019, India",PARK,12.339654,76.6830294,570019,4
mysuru ONE DAY TRIP,"No.247/2, Deshikachar Road, Subbarayanakere, Lakshmipuram, Mysuru, Karnataka 570004, India",SIGHTSEEING TOUR AGENCY,12.3062664,76.6510385,570004,5
GUN HOUSE," Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",MUSEUM,12.3023782,76.6559824,570004,4
SUTTUR MATTH,"Dr Shivarathri Rajendra Cir, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",RELIGIOUS ORGANIZATION,12.3015003,76.6549734,570004,4
