MYSORE WELLNESS YOGA CENTER,"#10, 1st Cross Road, 2nd Block, Sriramapura 2nd Stage, SBM Colony, Mysuru, Karnataka 570023, India",Yoga retreat center,12.2727301,76.6250307,+91 87460 78558,NA,5
LEAF YOGA ( HOME YOGA CLASSES ),"Krishnaraja Blvd Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga studio,12.2969707,76.6387717,NA,570004,5
VIBHUTI YOGA SHALA,"597, 4th Main Rd, 3rd Stage, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3344075,76.6257031,NA,570002,5
CULT,"Third Floor, Shanthi Sagar Complex, Udayaravi Road Opp. Kuvempunagar Housing Board Complex, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Fitness center,12.2868178,76.6260469,NA,570023,3.7
SRI PATHANJALI YOGA SHIKSHANA SAMITHI,"Unnamed Road, Krishnamurthy Puram, Mysuru, Karnataka 570004, India",Yoga retreat center,12.2922304,76.6403397,NA,570004,4
CHAINTHANY YOGA CENTRE,"288/A, Vivekanand Rd, Brindavan Extension 1st Stage, Brindavan Extension, Mysuru, Karnataka 570020, India",Yoga studio,12.3419128,76.6346035,+91 821 241 4352,570020,5
INTEYOGA,"41, 1st Cross Rd, 4th Block, Jayalakshmipuram, Mysuru, Karnataka 570012, India",Yoga studio,12.3222147,76.6272998,NA,570012,NA
AYURVEDA WELLNESS ELYSIUM,"Shop No. # 3, T.NarsiPura Road, Buddha Marga, Siddhartha Layout, Mysuru, Karnataka 570011, India",Yoga studio,12.3066323,76.6858182,+91 99806 56297,570011,5
INTENSE FITNESS GYM,"Siddartha Nagar, 7/2, Bannur Rd, Yaraganahalli, Mysuru, Karnataka 570011, India",Fitness center,12.3061269,76.6910448,+91 821 425 5527,570011,4.4
DHANYA SCHOOL OF YOGA,"Bettadpura, Mysuru, Karnataka 570004, India",Yoga retreat center,12.2925722,76.6459525,+91 99456 14565,570004,4.1
YOGA MANDIRA,"7JXV+JPP, Sunnadakeri, Rahmania Mohalla, Mysuru, Karnataka 570004, India",Yoga studio,12.2990796,76.6443281,NA,570004,4.3
UDDIYANA YOGA,"408, Contour Rd, near Adithya Hospital, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3316998,76.6251716,+91 88802 54518,570002,5
DEEP DANCE YOGA INSTITUTE,"Sharadadevi Nagar, TK Layout, Mysuru, Karnataka 570022, India",Yoga studio,12.2958408,76.613735,NA,570022,5
PRANAVA YOGA MANDIRA,"Pranava Yoga Mandira, Maharishi Public School, vishweshwara nagar, Industrial Suburb,, Mysuru, Karnataka, India",Yoga studio,12.2719716,76.6453028,+91 93422 73583,NA,4.8
IMA INSPIRATION -  TAI-CHI AND YOGA - MYSORE,"Vivekananda PU college, Kannada Sahithya Parishath Rd, Vijayanagar 1st Stage, Vijayanagar, Mysuru, Karnataka 570017, India",Martial arts school,12.3316329,76.6185687,NA,570017,5
MAHARSHI YOGALAYAM,"50, Ramavilas Rd, Subbarayanakere, KR Mohalla, Chamrajpura, Mysuru, Karnataka 570024, India",School,12.3053187,76.6501812,+91 81476 89417,570024,5
YOGA SAMHITA,"829, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.331311,76.6289986,+91 97381 11503,570002,5
YOGA SADHANA,"2911, 2nd Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Yoga studio,12.3256888,76.6321255,+91 99807 67030,570002,5
YOGA BHARATA - LOCATION 2,"144/E, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3366993,76.6296531,NA,570002,NA
SUKHASHANTI YOGA,"5th Main Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3286551,76.625967,+91 96630 66698,570002,1
SCHOOL OF THAI YOGA MASSAGE,"6th Cross Rd, Sunnadakeri, KR Mohalla, Rahmania Mohalla, Mysuru, Karnataka 570004, India",Yoga studio,12.3001266,76.6492117,+91 98867 94586,570004,4.2
SGS INTERNATIONAL YOGA FOUNDATION MYSORE,"#200, 4th Cross Rd, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",Yoga retreat center,12.2981336,76.6554425,NA,570004,5
CULT,"2733, 4th Floor, Temple Rd, above FabIndia, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Fitness center,12.3229688,76.6300707,+91 73373 16835,570002,4.4
KPJAY SHALA,"# 235, 8th Cross Rd, 3rd Stage, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3346359,76.6285699,NA,570002,NA
LEAF YOGA CLASSES AT HOME,"7JRP+GW5, Jayanagar, Kuvempu Nagara, Mysuru, Karnataka 570014, India",Yoga studio,12.2912492,76.6374115,NA,570014,NA
SHIVA YOGI MATT,"5th Cross, Gandhinagar, near Ganapathi Temple, Mysuru, Karnataka 570007, India",Yoga studio,12.321067,76.664317,+91 98452 60241,570007,5
BRAMHASHREE NARAYANA GURU YOGA MANDIRA,"No. 355, 10th Cross Road, Nimishamba Layout, Mysuru, Karnataka 570023, India",Yoga studio,12.2881936,76.6227799,NA,570023,5
OSHO GLIMPSE MYSORE(MEDITATION & ACCOMMODATIONS),"349, 6th main road, 16th cross, Gokulam 2nd Stage, Mysuru, Karnataka 570002, India",Yoga studio,12.3293273,76.624888,+91 98866 47772,570002,4.8
MYSORE YOGA SHALA,"#47/1 Devvirammanni agrahara ramnuja road, #47/1, Ramanuja Rd, Agrahara, Fort Mohalla, Mysuru, Karnataka 570004, India",School,12.3012754,76.6544164,+91 94498 86322,570004,5
YPAYS,"4, Temple Bell Layout Lingambudipalya Road, Sriramapura 2nd Stage, Mysuru, Karnataka 570023, India",Yoga studio,12.271626,76.6253171,+91 88808 88083,570023,NA
MYSORE YOGA CLUB 2,"7th Cross Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Lodge,12.3334588,76.6291175,NA,570002,5
LINGA ASHTANGA YOGA,"#783, 1st floor, 1st main, 3rd stage gokulam, Mysuru, Karnataka 570002, India",Yoga retreat center,12.3312501,76.625711,+91 99809 29586,570002,5
PRANAVA YOGA MANDIRA,"No.48, 6th Cross Rd, Gundurao Nagar, Vidyaranyapura, Visveshwara Nagar, Karnataka 570008, India",Gym,12.2844041,76.6523831,NA,570008,NA
SIVA SHAKTHI YOGA PEETH MYSORE,"852, Contour road, 1st main road, East, Gokulam 3rd Stage, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Yoga retreat center,12.3333315,76.6306303,+91 99721 52385,570002,5
SILVER NEST,"279, 7th Cross Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3331317,76.6293462,+91 93421 36763,570002,4.6
INDIAN INSTITUTE OF YOGA & NATUROPATHY MYSORE,"2908, 1, 3rd Main Rd, beside Andal vegetable market, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Yoga retreat center,12.3256064,76.6306381,+91 821 400 0457,570002,5
YOGA DARSHANAM,"No.77/A 4th Main Road 3rd Stage Vijay Nagar, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga retreat center,12.3286149,76.6274431,NA,570002,4.9
NIRVANA HATHA YOGA SHALA - HATHA YOGA TTC,"Osho Glimpse Mysore No. 349, 6th main road, 16th Cross Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.3303332,76.6261185,NA,570002,4.9
S.G.S INTERNATIONAL YOGA FOUNDATION,"813, Contour Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.331559,76.6291154,+91 91487 58821,570002,5
YOGA SATTWA AYURVEDA AND YOGA COLLEGE,"#78, 4th Main Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga retreat center,12.3352069,76.6299325,NA,570002,4.8
