Mughal Darbar,"11/5, Near RMC, New Sayyaji Rao Road, Mysuru, Karnataka 570021, India",Mughlai restaurant,12.3208875,76.6468797,+91 821 242 1171,570021,269,3.5
Ahmadu's restaurant,"Unnamed Road, 6th Cross Rd, Rahmania Mohalla, Mysuru, Karnataka 570004, India",Restaurant,12.2999901,76.6460681,NA,570004,251,5
Ruchi - Vegetarian Restaurant,"ground floor, Maharaj Complex, Bangalore Nilgiri Rd, opp. Sububran Bus Stand, Doora, Mysuru, Karnataka 570001, India",Vegetarian restaurant,12.3112977,76.6589697,+91 93410 42352,570001,268,3.5
Sri Mahaveer Veg Restaurant,"Shop No: # L, 20, Chandraguptha Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",North Indian restaurant,12.3102841,76.6582207,NA,570001,218,3.5
Pizza Hut,"Temple Road, 1/2, 6th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Pizza restaurant,12.323384,76.6300089,+91 1800 202 2022,570002,250,3.8
The Veg Kitchen Vegetarian Restaurant,"138, 139, Ramavilas Rd, NEAR JAGANMOHAN PALACE, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570024, India",South Indian restaurant,12.3056072,76.6498392,+91 76187 66605,570024,217,3.6
Goal Restaurant,"8M79+34C, Nazarbad, Mysuru, Karnataka 570010, India",Vegetarian restaurant,12.3126841,76.6677887,NA,NA,239,3.8
Veg court,"Sundar Arcade, Bangalore Nilgiri Rd, Nazarbad, Mysuru, Karnataka 570001, India",Restaurant,12.3118341,76.6590115,NA,570001,249,3
Restaurant,"#364, 6TH CROSS, Kamakshi Hospital Rd, Kuvempu Nagara, Mysuru, Karnataka 570009, India",Restaurant,12.299686,76.6277457,NA,570009,180,3
Limelight Cafe,"HUDCO 2nd Stage, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.340486,76.653739,NA,570015,267,3.8
Kairali Hotel Vegetarian & Non Vegetraian,"Bus Stand, Maharaja Shopping Complex, Bangalore Nilgiri Rd, Opposite Suburb, Nazarbad, Mysuru, Karnataka 570010, India",Kerala restaurant,12.3113271,76.6590211,NA,570010,216,3.8
Spices & Sauces,"8M55+5WR, Doora, Mysuru, Karnataka 570001, India",Family restaurant,12.3079865,76.6597902,NA,570001,248,3.8
Hotel Paradise,"104, Vivekananda Road, Brindavan Extension 2nd Stage, Brindavan Extension, Yadavagiri, Mysuru, Karnataka 570020, India",South Indian restaurant,12.326687,76.6403266,+91 821 400 8400,570020,238,3.9
Mysuru Grand Food,"Railway Station, Medar Block, Yadavagiri, Mysuru, Karnataka 570001, India",Vegetarian restaurant,12.3150219,76.6451355,NA,570001,266,2.8
Spring,"173, MG Road, Indiranagar Extension, Udayagiri, Mysuru, Karnataka 570010, India",Restaurant,12.2982813,76.665589,NA,570010,246,4.1
Mysore Chats,"112, Panchamantra Rd, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Restaurant,12.2947878,76.628459,NA,570023,215,5
Mysore Dhonne Biriyani,"2961/55, Ch19, 3rd Cross, 5th Main Road, Saraswathipuram, Mysuru, Karnataka 570009, India",Biryani restaurant,12.3022675,76.6322035,NA,570009,237,3.8
A2B Mysore,"Jhansi Rani Lakshmi Bai Rd, Medar Block, Yadavagiri, Mysuru, Karnataka 570001, India",Vegetarian restaurant,12.3150537,76.6448341,NA,570001,265,3.5
Hotel Hanumanthu original 1930,"1720, Akbar road, Mandi Mohalla, Mysuru, Karnataka 570001, India",Non vegetarian restaurant,12.3180682,76.6525407,+91 99004 10075,570001,179,4.1
Hotel Sagar Non Vegetarian,"12, T.A.P.C.M.S. Complex, Near Lorry Stand, Bannimantap, Mysuru, Karnataka 570015, India",South Indian restaurant,12.3359739,76.6460811,+91 99866 66437,570015,213,4
Dhatu Organics & Naturals,"2824, 10th Cross Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Organic food store,12.3247956,76.6269215,+91 821 419 3121,570002,178,4.3
Domino's Pizza,"Ground Floor, Door No. MIG 12, Block, 9, Vishwamanava Double Road, next to Idbi Bank, Chamaraja Mohalla, Saraswathipuram, Mysuru, Karnataka 570023, India",Pizza restaurant,12.2986148,76.6261998,+91 1800 208 1234,570023,211,4.2
Sweet Palace Cafe,"Diya Arcade, Kantharaja Urs Rd, behind Karnataka Press, Kukkarahalli, Saraswathipuram, Mysuru, Karnataka 570009, India",Restaurant,12.3049276,76.6351788,+91 80503 06764,570009,262,3.8
SVK Caterers mysore,"No. 404 17th Cross Behind Bus Depot, Aravinda Nagar, Vivekananda Nagar, Mysuru, Karnataka 570023, India",Caterer,12.276085,76.626121,+91 99016 06621,570023,209,4.5
Is'fahan,"13-14, Vinoba Rd, K.G Koppal, Chamarajapuram Mohalla, Chamrajpura, Mysuru, Karnataka 570005, India",Restaurant,12.3104512,76.6472629,NA,570005,236,NA
Gowdru Mess,"Vishwamanava Double Road, Kuvempunagara North, Saraswathipuram, Mysuru, Karnataka 570023, India",Biryani restaurant,12.3002786,76.626067,+91 97389 85010,570023,177,4.1
Biriyani Paradise - Non Vegetarian Restaurant,"Rifa Complex, Opp Panchvati Temple, Sayyaji Rao Rd, Mysuru, Karnataka 570015, India",Biryani restaurant,12.3176326,76.649376,+91 821 242 0566,570015,261,3.5
Hotel Sambrama,"Narasaraja Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India",South Indian restaurant,12.2970811,76.6408936,NA,570004,176,3.8
Mysore Nandhini Andhra Style Family Restaurant,"No 2916/1, Near KSRTC Bus Stand, Irwin Road, Lashkar Mohalla, Mysuru, Karnataka 570001, India",Andhra restaurant,12.3136166,76.6579056,+91 821 243 0241,570001,234,3.4
Rupa Tiffanis,"472, 16th Cross, 4th Main, 16th Cross, 4th Main, Near Sterling Theater, Vishweshwara Nagar, Mysuru, Karnataka 570008, India",South Indian restaurant,12.2809342,76.646631,+91 99456 87310,570008,243,NA
Khan Darbar multi cusuine restaurant,"8JJX+MF9, Bannimantap, Mysuru, Karnataka 570001, India",Restaurant,12.3316638,76.64874,NA,570001,175,4.1
Mysore Dhonne Biriyani,"Shop Nos.3&4 on the ground Floo, No.2818/5, 11th Cross, Kalidasa Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Fast food restaurant,12.3241966,76.6258599,+91 81500 22229,570002,233,3.8
The Quorum Hotel,"2257, 1, Vinoba Rd, near Kala Mandir, Devaraja Mohalla, CFTRI Campus, Shivarampet, Mysuru, Karnataka 570005, India",Restaurant,12.3120248,76.6405291,+91 821 429 2777,570005,241,3.9
